id,user_id,primary_mood,specific_mood,reason,activity,notes,created_at
1,1,طبيعي,مستقر,school,breathing,,"2025-03-26 18:05:56"
2,1,حزين,قلق,school,relax,,"2025-03-26 18:57:47"
